Quotes,Speaker
"It’s discouraging to make a mistake, but it’s humiliating when you find out you’re so unimportant that nobody noticed it",Chuck Daly
"Defense doesn’t break down on the help, it breaks down on the recovery",Chuck Daly
"Players have to buy into your system and be willing to accept the role, you, as the coach, have assigned to them",Chuck Daly
Offense is spacing and spacing is offense,Chuck Daly
"If you’re going to have to beg them to play, it’s not going to work",Chuck Daly
I’m a lot better coach when I have really good players,Chuck Daly
Leadership is difficult. It is a lonely responsibility. The best leaders are servants. It is always about others,Dale Brown
The only lasting form of discipline is self-imposed discipline,Dale Brown
The best teams have chemistry. They communicate with each other and sacrifice personal glory for the common goal,Dave DeBusschere
"Basketball is a game of sacrificing yourself for the next guy, being a team that takes good shots, and taking the right shots",David Blatt
"You’re always going to face criticism, you’re always going to face challenges, but those things are there to make you stronger and more committed",David Robinson
"Our job is to teach young people how to do things that make them successful on the court, in the classroom, and after graduation",David Shaw
There has never been a great ‘silent’ defense,Del Harris
Practice to beat the best,Dick Bennett
We cannot accept in victory what we would not accept in defeat,Dick Bennett
"For us to be successful on defense, we must get back and stop the basketball, eliminate easy baskets, keep the ball out of the lane, and bother the shooters",Dick Bennett
Most of my learning and philosophy regarding coaching basketball was developed after great frustration,Dick Bennett
"What you lack in talent can be made up with desire, hustle and giving 110% all the time",Don Zimmer
"Pressure works, not by stealing the ball, but by changing momentum",Donnie Jones
"When your teammate looks you in the eye and holds you accountable, that’s the greatest kind of leadership there is",Doug Collins
Work as hard as you can to become as good an individual player as you can to help your team win,Doug Collins
It is as big a mistake to turn down a good shot as it is to take a bad one,Ed Murphy
Coaching is a profession of love. You can’t coach people unless you love them,Eddie Robinson
"Every time you compete, try harder to improve on your last performance. Give nothing short of your very best effort",Elgin Baylor
Coaching is easy. Winning is the hard part,Elgin Baylor
"At the end of the day, no matter how well you score, you’ve got to be able to stop people",Eric Musselman
"If your bigs rim run at full speed it not only increases the potential for a quick layup, but opens up court for guards",Fred Hoiberg
"Yeah, I’m going to try to win the national championship next year. But I’m not going to kill myself doing it. I’m not going to kill my players either. You really start to realize there’s a lot more to what we’re trying to do then winning games",Geno Auriemma
"I don’t hire good coaches, I hire good people. If they turn out to be good coaches, too, that’s a plus",Geno Auriemma
Everyday we are going to fight lazy and soft. It’s completely unacceptable. You have to be demanding,George Karl
"When your best player puts it on the line every day, the other guys can’t cut corners",George Karl
It’s not up to anyone else to make me give my best,Hakeem Olajuwon
I seek to leave the world a litter better place than I found it,James Naismith
"Be strong in body, clean in mind, lofty in ideals",James Naismith
"A lot of late nights in the gym, a lot of early mornings, especially when your friends are going out, you’re going to the gym, those are the sacrifices that you have to make if you want to be an NBA basketball player",Jason Kidd
I have had some bad shooting games but that doesn’t stop me from getting the ball to my teammates,Jason Kidd
"Championship teams are built on being prepared, playing unselfishly and being held accountable",Jason Kidd
The tough player is the one who is difficult to play against and easy to play with,Jay Bilas
"The greatest compliment to any player is he is a great teammate. We can’t all be great players, but we can all be great teammates",Jay Bilas
I don’t need my players to like me. I need them to play for me,Jerry Sloan
"In 19 years Stockton never once lost a suicide drill in practice. Well, there was one day. He was sick. But he still ran it",Jerry Sloan
The secret is to have eight great players and four others who will cheer like crazy,Jerry Tarkanian
"Confidence is everything in this game, if you don’t think you can, you won’t",Jerry West
You can’t get much done in life if you only work on the days when you feel good,Jerry West
"Don’t let talent get in way of team performance. Great players do what’s outstanding for team, not what makes them stand out",Jerry West
Anything can happen with hard work and dedication,Jerry West
Your ability to communicate to your young people will determine your success,Jim Harrick
Praise your kids. Inspire and motivate your players with praise. Ten years from now it won’t matter what your record was. Will your kids love you or hate you?,Jim Harrick
"On good teams coaches hold players accountable, on great teams players hold players accountable",Joe Dumars
Freshman want to play. Sophomores want to start. Juniors want to score. Seniors want to win,John Beilein
"If you are honest with yourself and can look into a mirror and believe that you have given 100 percent, you should feel proud. If you cannot, then there is more work to be done",John Havlicek
We win because we play together as a team,John Havlicek
Whether I start or come off the bench makes no difference to me. My game has always been go as hard as I can as long as I can,John Havlicek
One of the hardest things a player must learn to do is when to start a dribble and when to stop a dribble,John Thompson
Keep it simple. I’m not interested in trying to prove to my players that I’m a genius,John Thompson
"You need to be tough enough to make the hustle plays, run down loose balls, run down long boards and communicate on defense",John Thompson
You need to work as hard to be a great teammate as you do to be a great player,Jon Gordon
Everyone wants to do what the great ones do; but very few are willing to do what they did to become great,Jon Gordon
"I think I started learning lessons about being a good person long before I ever knew what basketball was. And that starts in the home, it starts with the parental influence",Julius Erving
Goals determine what you’re going to be,Julius Erving
"Being a professional is doing the things you love to do, on the days you don’t feel like doing them",Julius Erving
A team is a group of players who support one another on court and who think of the group before they think of themselves,KC Jones
Our offensive philosophy is to simply find a way to get the ball into the hands of our team’s best player,Kelvin Sampson
"You don’t go through life, you grow through life",Kevin Ollie
"The secret of winning is working more as a team, less as individuals",Knute Rockne
"It’s not about the number of hours you practice, it’s about the number of hours your mind is present during the practice",Kobe Bryant
"You always have to be on edge. You always have to take every practice, every game, like it is your last",Kobe Bryant
You must have your player’s heads and hearts before they will do anything for you,Lawrence Frank
"Winning is the first priority. Individual development is important, but if each guy gets better, the team gets better",Lawrence Frank
I love seeing my teammates succeed. That’s what I get more excited about than anything,LeBron James
"I learned early that if I wanted to achieve anything in life, I’d have to do it myself. I learned that I had to be accountable",Lenny Wilkens
The most important quality I look for in a player is accountability. You’ve got to be accountable for who you are. It’s too easy to blame things on someone else,Lenny Wilkins
You’ve got to be accountable for who you are. It’s too easy to blame things on someone else,Lenny Wilkins
Always acknowledge hustle plays in practice,Lou Campanelli
"It always amazes me that spectators want to coach, coaches want to officiate, and officials just want to watch the game",Lou Holtz
Any guy who can maintain a positive attitude without much playing time earns my respect,Magic Johnson
"All kids need is a little help, a little hope and somebody who believes in them",Magic Johnson
Ask not what your teammates can do for you. Ask what you can do for your teammates,Magic Johnson
"Everybody on a championship team doesn’t get publicity, but everyone can say they are a champion",Magic Johnson
"It’s fun to play defense. It’s fun to watch the opponent sweat on offense, start complaining to the officials, and eventually be taken out of the game because he’s making so many offensive mistakes",Maury John
"You don’t need great skill to be a tough rebounder; being a rebounder is all about effort, determination, and physicality",Mike Malone
"Evaluate wins and losses objectively, focusing more on effort and execution than on the outcome of the game",Morgan Wootten
I would rather have a player who has mastered two or three moves than to try to teach him six or seven,Norm Sloan
"Our conditioning program begins the first day of class. The running portion is very demanding. It has physiological advantages, as well as psychological advantages",Norm Sloan
Character is huge for me. Does he care about winning or does he care about playing?,Otis Smith
Professional coaches measure success in rings. College coaches measure success in championships. High School coaches measure success to titles. Youth coaches measure success in smiles,Paul McAllister
The key to any game is to use your strengths and hide your weaknesses,Paul Westphal
"Have fun doing whatever it is that you desire to accomplish. Learn it one step at a time, emphasizing the fundamentals, and do it because you love it, not because it’s work",Paul Westphal
You can run a lot of plays when your X is twice as big as the other guys’ O. It makes your X’s and O’s pretty good,Paul Westphal
"Love never fails. Character never Quits. And with patience and persistence, dreams do come true",Pete Maravich
"When you work on getting better at something, don’t do it half speed",Ray Allen
"I recruit character as much as I recruit ability. And if you’ve built a team of character, they can handle moments that others cannot and they accept coaching on how to manage pressure",Roy Williams
Be led by your dreams. Not by your problems,Roy Williams
I expect to coach execution not effort,Roy Williams
Never underestimate the heart of a champion,Rudy Tomjanovich
One of the hardest things for a ball player to do is to accept his role,Scottie Pippen
We have the mentality of the hunter. We want to be the most enthusiastic team in the country. That’s what we can control,Shaka Smart
I don’t complain about playing time. My job is to play so well the coach can’t sit me,Shane Battier
The day I stopped worrying about stats is the day I started winning,Shaquille O’Neal
"Coaching is not what you know, but what you can get your players to do on the court",Stan Van Gundy
We try to stress the little things. Because little things lead to big things,Steve Alford
You create shots for yourself by what you do without the ball more than what you do after you get it,Steve Alford
I know the strengths and weaknesses of my teammates. I make my passing decisions accordingly,Steve Nash
The pick and roll is more about bodies and eyes then speed and being fast,Steve Nash
You should always want your coach to be critical. It gives you an opportunity to learn and to overcome adversity,Steve Nash
"If every basketball player worked as hard as I did, I’d be out of a job",Steve Nash
"Empower the people around you, from the janitor to the athletic director. You do that by being sincere, caring about others, and then putting it into practice",Sue Gunter
Players act like the floor is slanted; they run downhill on fast breaks and jog uphill when getting back on defense,Tates Locke
"The fundamentals of the game are the same wherever you go: pass, dribble, shoot, defend, rebound, screen, play hard and together",Terry Stotts
"There is no substitution for hustle, and if you don’t hustle there will be substitution",Tex Winter
"Good defensive play is as much a matter of hustle, desire and pride as it is anything else",Tex Winter
Don’t be afraid to let your players know how much you care about them,Thad Matta
"Working hard is one thing, but working hard with purpose is what separates the good from the great",Thad Matta
"The biggest thing is getting our guys to understand, you can’t let one mistake compound into another mistake",Thad Matta
We are unselfish and we trust each other,Tim Duncan
"You’ve got to stay ready, especially around here. That’s what we preach, you’ll get your opportunity whether it comes at the beginning or in the middle or in the end whenever it may be. When your time comes, you need to be ready to go because you’re going to earn your minutes",Tim Duncan
We are unselfish and we trust each other,Tim Duncan
The time when there is no one there to feel sorry for you or to cheer for you is when a player is made,Tim Duncan
"This is a team game and one man doesn’t win and one man doesn’t lose. In the end, the best team usually wins",Wilt Chamberlain
